name,slug,vietnamese_name,category_group,description,vietnamworks_url,is_active,sort_order,created_at,updated_at
Biotechnology,cong-nghe-sinh-hoc,Công Nghệ Sinh Học,Sản Xuất & Công Nghiệp,Công nghệ sinh học và ứng dụng,,t,181,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Printing Publishing,in-an-xuat-ban,In Ấn & Xuất Bản,Sản Xuất & Công Nghiệp,In ấn và xuất bản,,t,182,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Printing,in-an,In Ấn,Sản Xuất & Công Nghiệp,In ấn công nghiệp,,t,183,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Guarantee,bao-tieu-bao-lanh,Bao Tiêu/Bảo Lãnh,Sản Xuất & Công Nghiệp,Bảo tiêu và bảo lãnh,,t,184,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Program Production,san-xuat-chuong-trinh,Sản Xuất Chương Trình,Sản Xuất & Công Nghiệp,Sản xuất chương trình truyền thông,,t,185,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Research Development,nghien-cuu-phat-trien,Nghiên Cứu & Phát Triển,Nghiên Cứu & Phân Tích,Nghiên cứu và phát triển R&D,,t,190,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Market Research,nghien-cuu-phan-tich-thi-truong,Nghiên Cứu & Phân Tích Thị Trường,Nghiên Cứu & Phân Tích,Nghiên cứu thị trường và phân tích,,t,191,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Academic Research,nghien-cuu-hoc-thuat,Nghiên Cứu Học Thuật,Nghiên Cứu & Phân Tích,Nghiên cứu học thuật và khoa học,,t,192,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Product Development,quan-ly-phat-trien-san-pham,Quản Lý & Phát Triển Sản Phẩm,Nghiên Cứu & Phân Tích,Quản lý và phát triển sản phẩm,,t,193,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Administration,hanh-chinh,Hành Chính,Hành Chính & Văn Phòng,Hành chính và quản lý chung,,t,200,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Secretary,thu-ky,Thư Ký,Hành Chính & Văn Phòng,Thư ký và trợ lý văn phòng,,t,201,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Business Assistant,tro-ly-kinh-doanh,Trợ Lý Kinh Doanh,Hành Chính & Văn Phòng,Trợ lý kinh doanh và hành chính,,t,202,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Workplace Safety,an-toan-lao-dong,An Toàn Lao Động,An Ninh & Bảo Vệ,An toàn lao động và vệ sinh lao động,,t,210,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Security,bao-ve,Bảo Vệ,An Ninh & Bảo Vệ,Bảo vệ và an ninh,,t,211,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Other,khac,Khác,Các Ngành Nghề Khác,Các ngành nghề khác chưa phân loại,,t,220,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
NGO,ngo-phi-loi-nhuan,NGO/Phi Lợi Nhuận,Các Ngành Nghề Khác,Tổ chức phi lợi nhuận và NGO,,t,221,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Aviation,dich-vu-hang-khong,Dịch Vụ Hàng Không,Các Ngành Nghề Khác,Dịch vụ hàng không và hàng không,,t,222,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Asset Management,kinh-doanh-thuong-mai-cho-thue-quan-ly-tai-san,"Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản",Các Ngành Nghề Khác,Quản lý tài sản và kinh doanh thương mại,,t,223,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Fashion Design,thiet-ke-thoi-trang-trang-suc,Thiết Kế Thời Trang/Trang Sức,Các Ngành Nghề Khác,Thiết kế thời trang và trang sức,,t,224,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Digital Transformation,chuyen-doi-so,Chuyển Đổi Số,Các Ngành Nghề Khác,Chuyển đổi số và chuyển đổi công nghệ,,t,225,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Risk Consulting,tu-van-rui-ro,Tư Vấn Rủi Ro,Các Ngành Nghề Khác,Tư vấn quản lý rủi ro,,t,226,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Psychology Counseling,tu-van-tam-ly-cong-tac-xa-hoi,Tư Vấn Tâm Lý & Công Tác Xã Hội,Các Ngành Nghề Khác,Tư vấn tâm lý và công tác xã hội,,t,227,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Business Consulting,ke-hoach-tu-van-doanh-nghiep,Kế hoạch/Tư Vấn Doanh Nghiệp,Các Ngành Nghề Khác,Tư vấn kế hoạch và chiến lược doanh nghiệp,,t,228,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Telecommunications,vien-thong,Viễn Thông,Các Ngành Nghề Khác,Viễn thông và truyền thông,,t,229,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Debt Collection,thu-hoi-no,Thu Hồi Nợ,Các Ngành Nghề Khác,Thu hồi nợ và quản lý nợ,,t,230,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Coordination,dieu-phoi,Điều Phối,Các Ngành Nghề Khác,Điều phối hoạt động và logistics,,t,231,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Enterprise Customer Service,dich-vu-khach-hang-doanh-nghiep,Dịch Vụ Khách Hàng Doanh Nghiệp,Các Ngành Nghề Đặc Thù,Dịch vụ khách hàng doanh nghiệp B2B,,t,240,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Account Management,quan-ly-tai-khoan-khach-hang,Quản Lý Tài Khoản Khách Hàng,Các Ngành Nghề Đặc Thù,Quản lý tài khoản khách hàng,,t,241,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Translation,bien-phien-dich,Biên Phiên Dịch,Các Ngành Nghề Đặc Thù,Biên dịch và phiên dịch,,t,242,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Information Security,an-toan-thong-tin,An Toàn Thông Tin,Các Ngành Nghề Đặc Thù,An toàn thông tin và cyber security,,t,243,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Quality Assurance,dam-bao-chat-luong-kiem-soat-chat-luong-quan-ly-chat-luong,Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,Các Ngành Nghề Đặc Thù,Đảm bảo chất lượng và QA/QC,,t,244,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
